RTC End Time Stamp,Zone Name,Zone PTID,RTC Zonal LBMP,RTC Zonal Losses,RTC Zonal Congestion,RTC Zonal Price Version
3/1/2024 8:00,CENTRL,61754,35.24,-0.83,0,1
3/1/2024 8:00,DUNWOD,61760,38.62,2.56,0,1
3/1/2024 8:00,GENESE,61753,33.32,-2.74,0,1
3/1/2024 8:00,HUD VL,61758,38.34,2.27,0,1
3/1/2024 8:00,LONGIL,61762,38.84,2.78,0,1
3/1/2024 8:00,MHK VL,61756,37.18,1.12,0,1
3/1/2024 8:00,MILLWD,61759,38.52,2.45,0,1
3/1/2024 8:00,N.Y.C.,61761,38.8,2.74,0,1
3/1/2024 8:00,NORTH,61755,36.68,0.61,0,1
3/1/2024 8:00,WEST,61752,32.35,-3.71,0,1
3/1/2024 8:15,CAPITL,61757,49.94,1.97,0,1
3/1/2024 8:15,CENTRL,61754,45.57,-1.1,1.31,1
3/1/2024 8:15,DUNWOD,61760,51.38,3.41,0,1
3/1/2024 8:15,GENESE,61753,41.89,-3.79,2.3,1
3/1/2024 8:15,HUD VL,61758,50.95,2.98,0,1
3/1/2024 8:15,LONGIL,61762,51.62,3.64,0,1
3/1/2024 8:15,MHK VL,61756,48.92,1.39,0.45,1
3/1/2024 8:15,MILLWD,61759,51.24,3.26,0,1
3/1/2024 8:15,N.Y.C.,61761,51.62,3.64,0,1
3/1/2024 8:15,NORTH,61755,48.89,0.91,0,1
3/1/2024 8:15,WEST,61752,40.68,-5.09,2.21,1
3/1/2024 8:30,CAPITL,61757,36.53,1.51,0,1
3/1/2024 8:30,CENTRL,61754,34.11,-0.91,0,1
3/1/2024 8:30,DUNWOD,61760,37.37,2.35,0,1
3/1/2024 8:30,GENESE,61753,32.19,-2.84,0,1
3/1/2024 8:30,HUD VL,61758,37.02,2,0,1
3/1/2024 8:30,LONGIL,61762,37.48,2.45,0,1
3/1/2024 8:30,MHK VL,61756,35.97,0.95,0,1
3/1/2024 8:30,MILLWD,61759,37.23,2.21,0,1
3/1/2024 8:30,N.Y.C.,61761,37.48,2.45,0,1
3/1/2024 8:30,NORTH,61755,35.76,0.74,0,1
3/1/2024 8:30,WEST,61752,31.38,-3.64,0,1
3/1/2024 8:45,CAPITL,61757,25.42,0.95,0,1
3/1/2024 8:45,CENTRL,61754,23.91,-0.56,0,1
3/1/2024 8:45,DUNWOD,61760,26.11,1.64,0,1
3/1/2024 8:45,GENESE,61753,22.53,-1.93,0,1
3/1/2024 8:45,HUD VL,61758,25.86,1.39,0,1
3/1/2024 8:45,LONGIL,61762,26.2,1.74,0,1
